timestamp,symbol,qty,price
2022-11-01 09:35:05,BANKNIFTY22110341700CE,1.0,206.85
2022-11-01 09:35:13,BANKNIFTY22110341700PE,-1.0,392.0
2022-11-01 09:35:13,BANKNIFTY22110341600CE,1.0,248.6
2022-11-01 09:35:13,BANKNIFTY22110341600PE,1.0,337.4
2022-11-01 09:35:13,BANKNIFTY22110341700CE,-1.0,201.9
2022-11-01 09:40:22,BANKNIFTY22110341700PE,1.0,386.2
2022-11-01 09:40:22,BANKNIFTY22110341600CE,-1.0,252.95
2022-11-01 09:40:22,BANKNIFTY22110341600PE,-1.0,332.45
2022-11-01 09:40:22,BANKNIFTY22110341700CE,1.0,205.95
2022-11-01 09:46:03,BANKNIFTY22110341700PE,-1.0,345.0
2022-11-01 09:46:03,BANKNIFTY22110341800CE,1.0,215.85
2022-11-01 09:46:03,BANKNIFTY22110341700CE,-1.0,261.0
2022-11-01 09:46:03,BANKNIFTY22110341800PE,1.0,400.0
2022-11-01 09:48:41,NIFTY22110318150PE,-1.0,99.45
2022-11-01 09:48:41,NIFTY22110318150CE,-1.0,84.0
2022-11-01 09:48:41,NIFTY22110318200PE,1.0,127.0
2022-11-01 09:48:41,NIFTY22110318200CE,1.0,60.6
2022-11-01 09:56:35,NIFTY22110318150PE,1.0,100.8
2022-11-01 09:56:35,NIFTY22110318150CE,1.0,85.05
2022-11-01 09:56:35,NIFTY22110318200PE,-1.0,127.35
2022-11-01 09:56:35,NIFTY22110318200CE,-1.0,61.55
2022-11-01 09:56:36,NIFTY22110318150PE,-1.0,100.25
2022-11-01 09:56:36,NIFTY22110318150CE,-1.0,85.7
2022-11-01 09:56:36,NIFTY22110318200PE,1.0,127.0
2022-11-01 09:56:36,NIFTY22110318200CE,1.0,62.0
2022-11-01 10:23:40,BANKNIFTY22110341700PE,1.0,347.55
2022-11-01 10:23:40,BANKNIFTY22110341800CE,-1.0,212.15
2022-11-01 10:23:40,BANKNIFTY22110341700CE,1.0,258.3
2022-11-01 10:23:40,BANKNIFTY22110341800PE,-1.0,402.75
2022-11-01 10:24:31,BANKNIFTY22110341700PE,-1.0,343.15
2022-11-01 10:24:31,BANKNIFTY22110341800CE,1.0,213.75
2022-11-01 10:24:31,BANKNIFTY22110341700CE,-1.0,258.6
2022-11-01 10:24:31,BANKNIFTY22110341800PE,1.0,399.0
2022-11-01 10:24:39,BANKNIFTY22110341700PE,1.0,344.4
2022-11-01 10:24:39,BANKNIFTY22110341800CE,-1.0,212.15
2022-11-01 10:24:39,BANKNIFTY22110341700CE,1.0,257.75
2022-11-01 10:24:39,BANKNIFTY22110341800PE,-1.0,399.05
2022-11-01 10:25:19,BANKNIFTY22110341700PE,-1.0,344.95
2022-11-01 10:25:19,BANKNIFTY22110341800CE,1.0,214.25
2022-11-01 10:25:19,BANKNIFTY22110341700CE,-1.0,259.25
2022-11-01 10:25:19,BANKNIFTY22110341800PE,1.0,400.95
2022-11-01 10:25:22,BANKNIFTY22110341700PE,1.0,345.25
2022-11-01 10:25:22,BANKNIFTY22110341800CE,-1.0,214.05
2022-11-01 10:25:22,BANKNIFTY22110341700CE,1.0,259.4
2022-11-01 10:25:22,BANKNIFTY22110341800PE,-1.0,400.0
2022-11-01 10:25:25,BANKNIFTY22110341700PE,-1.0,344.0
2022-11-01 10:25:25,BANKNIFTY22110341800CE,1.0,214.5
2022-11-01 10:25:25,BANKNIFTY22110341700CE,-1.0,258.85
2022-11-01 10:25:25,BANKNIFTY22110341800PE,1.0,399.65
2022-11-01 10:25:35,BANKNIFTY22110341700PE,1.0,346.85
2022-11-01 10:25:35,BANKNIFTY22110341800CE,-1.0,212.9
2022-11-01 10:25:35,BANKNIFTY22110341700CE,1.0,257.75
2022-11-01 10:25:35,BANKNIFTY22110341800PE,-1.0,402.5
2022-11-01 10:25:36,BANKNIFTY22110341700PE,-1.0,347.25
2022-11-01 10:25:36,BANKNIFTY22110341800CE,1.0,214.0
2022-11-01 10:25:36,BANKNIFTY22110341700CE,-1.0,259.0
2022-11-01 10:25:36,BANKNIFTY22110341800PE,1.0,400.75
2022-11-01 10:25:38,BANKNIFTY22110341700PE,1.0,346.2
2022-11-01 10:25:38,BANKNIFTY22110341800CE,-1.0,214.1
2022-11-01 10:25:38,BANKNIFTY22110341700CE,1.0,258.65
2022-11-01 10:25:38,BANKNIFTY22110341800PE,-1.0,401.05
2022-11-01 10:25:51,BANKNIFTY22110341700PE,-1.0,344.3
2022-11-01 10:25:51,BANKNIFTY22110341800CE,1.0,214.7
2022-11-01 10:25:51,BANKNIFTY22110341700CE,-1.0,259.1
2022-11-01 10:25:51,BANKNIFTY22110341800PE,1.0,399.05
2022-11-01 10:25:53,BANKNIFTY22110341700PE,1.0,343.4
2022-11-01 10:25:53,BANKNIFTY22110341800CE,-1.0,214.75
2022-11-01 10:25:53,BANKNIFTY22110341700CE,1.0,259.45
2022-11-01 10:25:53,BANKNIFTY22110341800PE,-1.0,398.9
2022-11-01 10:25:55,BANKNIFTY22110341700PE,-1.0,344.15
2022-11-01 10:25:55,BANKNIFTY22110341800CE,1.0,214.55
2022-11-01 10:25:55,BANKNIFTY22110341700CE,-1.0,259.55
2022-11-01 10:25:55,BANKNIFTY22110341800PE,1.0,398.55
2022-11-01 10:26:05,BANKNIFTY22110341700PE,1.0,346.3
2022-11-01 10:26:05,BANKNIFTY22110341800CE,-1.0,212.2
2022-11-01 10:26:05,BANKNIFTY22110341700CE,1.0,257.1
2022-11-01 10:26:05,BANKNIFTY22110341800PE,-1.0,401.6
2022-11-01 10:26:07,BANKNIFTY22110341700PE,-1.0,346.6
2022-11-01 10:26:07,BANKNIFTY22110341800CE,1.0,211.85
2022-11-01 10:26:07,BANKNIFTY22110341700CE,-1.0,257.5
2022-11-01 10:26:07,BANKNIFTY22110341800PE,1.0,402.05
2022-11-01 10:26:08,BANKNIFTY22110341700PE,1.0,346.3
